,latt,temp,AJA,CNA,CPA,PTM,VTM,ML_x,ML_y
0,bcc,100,0.9995,1.0,None,1.0,1.0000,1.0,1.0
1,bcc,200,0.9811,1.0,None,1.0,1.0000,1.0,1.0
2,bcc,300,0.9281,1.0,None,1.0,1.0000,1.0,1.0
3,bcc,400,0.8626,1.0,None,1.0,1.0000,1.0,1.0
4,bcc,500,0.7907,1.0,None,1.0,1.0000,1.0,1.0
5,bcc,600,0.7242,0.9998,None,1.0,1.0000,1.0,1.0
6,bcc,700,0.6695,0.9991,None,1.0,1.0000,0.9996399855994241,0.9998799951998081
7,bcc,800,0.6134,0.9967,None,1.0,1.0000,0.99939997599904,0.999279971198848
8,bcc,900,0.5678,0.9904,None,1.0,0.9981,0.997359894395776,0.9969998799951998
9,bcc,1000,0.5391,0.9749,None,0.9994,0.9938,0.9930397215888636,0.9913596543861756
10,bcc,1100,0.5125,0.9558,None,0.9987,0.9868,0.9771990879635184,0.9752790111604464
11,bcc,1200,0.4804,0.915,None,0.9962,0.9709,0.9605184207368296,0.9517580703228128
12,bcc,1300,0.4627,0.8657,None,0.9915,0.9498,0.9294371774870996,0.9194767790711628
13,bcc,1400,0.4446,0.8087,None,0.983,0.9215,0.8881555262210489,0.8687147485899436
14,bcc,1500,0.4257,0.7368,None,0.9694,0.8830,0.8193927757110284,0.7949117964718588
15,bcc,1600,0.3999,0.6278,None,0.9444,0.8017,0.7422296891875675,0.7087483499339974
16,bcc,1700,0.3877,0.5252,None,0.9016,0.7168,0.6494659786391456,0.610344413776551
17,bcc,1800,0.3634,0.4209,None,0.8545,0.6309,0.5723028921156846,0.5256210248409936
18,bcc,1900,0.3411,0.2995,None,0.7611,0.4892,0.4264970598823953,0.3813752550102004
19,bcc,2000,0.2863,0.1561,None,0.5234,0.2955,0.3150126005040201,0.2714508580343214
20,fcc,100,1.0,1.0,None,1.0,0.2351 ,1.0,1.0
21,fcc,200,1.0,1.0,None,1.0,0.2465 ,0.999759990399616,1.0
22,fcc,300,1.0,1.0,None,1.0,0.2467 ,0.9996399855994241,1.0
23,fcc,400,0.9976,0.996,None,1.0,0.2471 ,0.9980799231969278,0.999759990399616
24,fcc,500,0.9882,0.986,None,1.0,0.2448 ,0.9961598463938558,0.99879995199808
25,fcc,600,0.9659,0.9538,None,0.9999,0.2524 ,0.9881195247809912,0.9945997839913596
26,fcc,700,0.9146,0.8679,None,0.9993,0.2489 ,0.9744389775591024,0.984399375975039
27,fcc,800,0.8381,0.7462,None,0.995,0.2517 ,0.9276371054842194,0.9449177967118684
28,fcc,900,0.7128,0.5566,None,0.9776,0.2426 ,0.8616344653786151,0.8867154686187447
29,fcc,1000,0.5731,0.3753,None,0.936,0.2417 ,0.7526701068042722,0.7757110284411376
30,fcc,1100,0.3704,0.1669,None,0.7891,0.2183 ,0.6097443897755911,0.625465018600744
31,hcp,100,1.0,1.0,None,1.0,0.6293 ,1.0,1.0
32,hcp,200,0.9997,1.0,None,1.0,0.6233 ,1.0,1.0
33,hcp,300,0.9973,0.9998,None,1.0,0.6223 ,1.0,1.0
34,hcp,400,0.9921,0.999,None,1.0,0.6233 ,1.0,1.0
35,hcp,500,0.9818,0.9915,None,1.0,0.6142 ,1.0,1.0
36,hcp,600,0.9589,0.9756,None,0.9999,0.6216 ,1.0,1.0
37,hcp,700,0.9415,0.9526,None,0.9999,0.6265 ,1.0,1.0
38,hcp,800,0.9068,0.8981,None,0.9996,0.6144 ,0.9998799951998081,0.999759990399616
39,hcp,900,0.8706,0.8462,None,0.9984,0.6128 ,1.0,0.9998799951998081
40,hcp,1000,0.8346,0.7802,None,0.9974,0.6147 ,0.999759990399616,0.9998799951998081
41,hcp,1100,0.7881,0.6962,None,0.9939,0.6146 ,0.998559942397696,0.999279971198848
42,hcp,1200,0.7426,0.6082,None,0.9887,0.6103 ,0.997839913596544,0.998919956798272
43,hcp,1300,0.7033,0.5392,None,0.9806,0.6071 ,0.9966398655946238,0.997959918396736
44,hcp,1400,0.6597,0.4645,None,0.9714,0.6132 ,0.9953198127925116,0.997239889595584
45,hcp,1500,0.6114,0.3877,None,0.9572,0.5975 ,0.9953198127925116,0.997359894395776
46,hcp,1600,0.5574,0.316,None,0.9396,0.6013 ,0.9908796351854074,0.9930397215888636
47,hcp,1700,0.5144,0.2615,None,0.9196,0.5918 ,0.9925597023880957,0.9942397695907836
48,hcp,1800,0.483,0.2189,None,0.8992,0.5900 ,0.9895595823832952,0.9926797071882876
49,hcp,1900,0.4462,0.1791,None,0.8738,0.5778 ,0.9864394575783032,0.9912396495859834
50,hcp,2000,0.4022,0.1417,None,0.8355,0.5697 ,0.9800792031681268,0.9863194527781112
51,hcp,2100,0.3675,0.099,None,0.7906,0.5589 ,0.9769590783631346,0.983919356774271
52,hcp,2200,0.3323,0.0718,None,0.7322,0.5303 ,0.9746789871594864,0.9821192847713908
53,cd,100,None,1.0,1.0,1.0,None,1.0,1.0
54,cd,200,None,1.0,1.0,1.0,None,1.0,1.0
55,cd,300,None,1.0,1.0,1.0,None,1.0,1.0
56,cd,400,None,1.0,1.0,1.0,None,1.0,1.0
57,cd,500,None,1.0,1.0,1.0,None,1.0,1.0
58,cd,600,None,1.0,1.0,1.0,None,1.0,1.0
59,cd,700,None,1.0,1.0,1.0,None,1.0,1.0
60,cd,800,None,1.0,1.0,1.0,None,1.0,0.9995199807992321
61,cd,900,None,1.0,1.0,1.0,None,0.9998799951998081,0.99939997599904
62,cd,1000,None,1.0,1.0,1.0,None,1.0,0.998919956798272
63,cd,1100,None,0.9999,0.9999,1.0,None,0.998679947197888,0.9949597983919356
64,cd,1200,None,1.0,1.0,1.0,None,0.99879995199808,0.9935197407896316
65,cd,1300,None,0.9995,1.0,1.0,None,0.997239889595584,0.9863194527781112
66,cd,1400,None,0.9987,1.0,1.0,None,0.9945997839913596,0.9763590543621744
67,cd,1500,None,0.997,0.9997,1.0,None,0.9875195007800311,0.952598103924157
68,cd,1600,None,0.994,0.9987,1.0,None,0.984279371174847,0.9415576623064924
69,cd,1700,None,0.9864,0.9976,1.0,None,0.97131885275411,0.9150366014640584
70,cd,1800,None,0.9801,0.9922,0.9988,None,0.9594383775351014,0.8861154446177847
71,cd,1900,None,0.9613,0.9842,0.9972,None,0.9293171726869076,0.8388335533421337
72,cd,2000,None,0.9209,0.9649,0.9901,None,0.905676227049082,0.7998319932797312
73,hd,20,None,1.0,1.0,1.0,None,1.0,1.0
74,hd,40,None,1.0,1.0,1.0,None,1.0,1.0
75,hd,60,None,1.0,1.0,1.0,None,1.0,1.0
76,hd,80,None,1.0,1.0,1.0,None,0.9995199807992321,1.0
77,hd,100,None,1.0,1.0,1.0,None,0.999279971198848,1.0
78,hd,120,None,0.9999,1.0,1.0,None,0.998319932797312,1.0
79,hd,140,None,0.9999,1.0,1.0,None,0.9962798511940476,1.0
80,hd,160,None,0.9998,1.0,1.0,None,0.9941197647905916,0.999759990399616
81,hd,180,None,0.9992,0.9996,1.0,None,0.9941197647905916,0.9995199807992321
82,hd,200,None,0.9976,0.999,1.0,None,0.9889595583823352,0.9995199807992321
83,hd,220,None,0.9947,0.998,1.0,None,0.9893195727829112,0.999159966398656
84,hd,240,None,0.99,0.9965,0.9998,None,0.9818792751710068,0.99879995199808
85,hd,260,None,0.9851,0.9931,1.0,None,0.9822392895715828,0.997719908796352
86,hd,280,None,0.9725,0.9873,0.9998,None,0.969998799951998,0.9933997359894396
87,hd,300,None,0.9513,0.9781,0.9994,None,0.9667586703468138,0.9918396735869436
88,hd,320,None,0.94,0.963,0.999,None,0.9692787711508459,0.9911196447857914
89,hd,340,None,0.8821,0.9398,0.9968,None,0.9667586703468138,0.9870394815792632
90,sc,100,None,None,None,1.0,None ,1.0,1.0
91,sc,200,None,None,None,1.0,None ,1.0,1.0
92,sc,300,None,None,None,1.0,None ,1.0,1.0
93,sc,400,None,None,None,1.0,None ,1.0,1.0
94,sc,500,None,None,None,1.0,None ,1.0,1.0
95,sc,600,None,None,None,0.9999,None ,1.0,1.0
96,sc,700,None,None,None,0.9998,None ,1.0,1.0
97,sc,800,None,None,None,0.9986,None ,1.0,1.0
98,sc,900,None,None,None,0.995,None ,0.999759990399616,1.0
99,sc,1000,None,None,None,0.9828,None ,0.99939997599904,1.0
100,sc,1100,None,None,None,0.9539,None ,0.9963998559942396,1.0
101,sc,1200,None,None,None,0.8836,None ,0.9867994719788792,0.999759990399616
